Topic  precision  recall     F1
101    0.5        0.7143     0.5882
102    0.6        0.0444     0.0828
103    0.3        0.2143     0.25
104    1.0        0.0833     0.1538
105    0.4        0.25       0.3077
106    0.1        0.25       0.1429
107    0.1        0.3333     0.1538
108    0.1        0.3333     0.1538
109    0.8        0.4        0.5333
110    0.0        0.0        0
111    0.3        1.0        0.4615
112    0.1        0.1667     0.125
113    0.0        0.0        0
114    0.1        0.2        0.1333
115    0.2        0.6667     0.3077
116    0.4        0.25       0.3077
117    0.3        1.0        0.4615
118    0.2        0.6667     0.3077
119    0.0        0.0        0
120    0.0        0.0        0
121    0.5        0.3571     0.4167
122    0.6        0.4        0.48
123    0.1        0.3333     0.1538
124    0.1        0.1667     0.125
125    0.6        0.5        0.5455
126    0.2        0.1053     0.1379
127    0.4        0.8        0.5333
128    0.0        0.0        0
129    0.4        0.2353     0.2963
130    0.3        1.0        0.4615
131    0.3        0.75       0.4286
132    0.2        0.2857     0.2353
133    0.1        0.2        0.1333
134    0.2        0.4        0.2667
135    0.3        0.2143     0.25
136    0.3        0.375      0.3333
137    0.1        0.3333     0.1538
138    0.2        0.2857     0.2353
139    0.3        1.0        0.4615
140    0.2        0.1818     0.1905
141    0.3        0.125      0.1765
142    0.3        0.75       0.4286
143    0.0        0.0        0
144    0.0        0.0        0
145    0.0        0.0        0
146    0.2        0.1538     0.1739
147    0.0        0.0        0
148    0.3        0.25       0.2727
149    0.2        0.4        0.2667
150    0.0        0.0        0
