Topic  precision  recall     F1
101    0.5        0.7143     0.5882
102    0.6        0.0444     0.0828
103    0.3        0.2143     0.25
104    0.5        0.0417     0.0769
105    0.7        0.4375     0.5385
106    0.2        0.5        0.2857
107    0.1        0.3333     0.1538
108    0.1        0.3333     0.1538
109    0.7        0.35       0.4667
110    0.3        0.6        0.4
111    0.0        0.0        0
112    0.4        0.6667     0.5
113    0.6        0.5        0.5455
114    0.5        1.0        0.6667
115    0.1        0.3333     0.1538
116    0.1        0.0625     0.0769
117    0.2        0.6667     0.3077
118    0.3        1.0        0.4615
119    0.0        0.0        0
120    0.3        0.3333     0.3158
121    0.6        0.4286     0.5
122    0.6        0.4        0.48
123    0.2        0.6667     0.3077
124    0.4        0.6667     0.5
125    0.7        0.5833     0.6364
126    0.2        0.1053     0.1379
127    0.5        1.0        0.6667
128    0.1        0.25       0.1429
129    0.5        0.2941     0.3704
130    0.3        1.0        0.4615
131    0.2        0.5        0.2857
132    0.2        0.2857     0.2353
133    0.4        0.8        0.5333
134    0.1        0.2        0.1333
135    0.3        0.2143     0.25
136    0.3        0.375      0.3333
137    0.3        1.0        0.4615
138    0.0        0.0        0
139    0.3        1.0        0.4615
140    0.5        0.4545     0.4762
141    0.5        0.2083     0.2941
142    0.3        0.75       0.4286
143    0.0        0.0        0
144    0.3        0.5        0.375
145    0.0        0.0        0
146    0.1        0.0769     0.087
147    0.5        0.8333     0.625
148    0.1        0.0833     0.0909
149    0.2        0.4        0.2667
150    0.1        0.25       0.1429
