Topic  precision  recall     F1
101    0.4        0.5714     0.4706
102    0.3        0.0222     0.0414
103    0.0        0.0        0
104    0.6        0.05       0.0923
105    0.7        0.4375     0.5385
106    0.0        0.0        0
107    0.0        0.0        0
108    0.0        0.0        0
109    0.2        0.1        0.1333
110    0.0        0.0        0
111    0.2        0.6667     0.3077
112    0.2        0.3333     0.25
113    0.1        0.0833     0.0909
114    0.2        0.4        0.2667
115    0.2        0.6667     0.3077
116    0.1        0.0625     0.0769
117    0.1        0.3333     0.1538
118    0.1        0.3333     0.1538
119    0.0        0.0        0
120    0.0        0.0        0
121    0.2        0.1429     0.1667
122    0.6        0.4        0.48
123    0.1        0.3333     0.1538
124    0.3        0.5        0.375
125    0.4        0.3333     0.3636
126    0.7        0.3684     0.4828
127    0.2        0.4        0.2667
128    0.0        0.0        0
129    0.2        0.1176     0.1481
130    0.2        0.6667     0.3077
131    0.1        0.25       0.1429
132    0.2        0.2857     0.2353
133    0.0        0.0        0
134    0.0        0.0        0
135    0.3        0.2143     0.25
136    0.4        0.5        0.4444
137    0.1        0.3333     0.1538
138    0.2        0.2857     0.2353
139    0.2        0.6667     0.3077
140    0.3        0.2727     0.2857
141    0.8        0.3333     0.4706
142    0.3        0.75       0.4286
143    0.1        0.25       0.1429
144    0.2        0.3333     0.25
145    0.1        0.2        0.1333
146    0.0        0.0        0
147    0.0        0.0        0
148    0.3        0.25       0.2727
149    0.2        0.4        0.2667
150    0.1        0.25       0.1429
