Topic  precision  recall     F1
101    0.5        0.7143     0.5882
102    0.8        0.0593     0.1103
103    0.3        0.2143     0.25
104    1.0        0.0833     0.1538
105    0.8        0.5        0.6154
106    0.2        0.5        0.2857
107    0.1        0.3333     0.1538
108    0.1        0.3333     0.1538
109    0.7        0.35       0.4667
110    0.4        0.8        0.5333
111    0.3        1.0        0.4615
112    0.6        1.0        0.75
113    0.6        0.5        0.5455
114    0.5        1.0        0.6667
115    0.2        0.6667     0.3077
116    0.2        0.125      0.1538
117    0.2        0.6667     0.3077
118    0.2        0.6667     0.3077
119    0.0        0.0        0
120    0.4        0.4444     0.4211
121    0.4        0.2857     0.3333
122    0.6        0.4        0.48
123    0.1        0.3333     0.1538
124    0.4        0.6667     0.5
125    0.6        0.5        0.5455
126    0.7        0.3684     0.4828
127    0.5        1.0        0.6667
128    0.2        0.5        0.2857
129    0.6        0.3529     0.4444
130    0.3        1.0        0.4615
131    0.2        0.5        0.2857
132    0.3        0.4286     0.3529
133    0.3        0.6        0.4
134    0.1        0.2        0.1333
135    0.3        0.2143     0.25
136    0.3        0.375      0.3333
137    0.2        0.6667     0.3077
138    0.1        0.1429     0.1176
139    0.3        1.0        0.4615
140    0.5        0.4545     0.4762
141    0.9        0.375      0.5294
142    0.3        0.75       0.4286
143    0.0        0.0        0
144    0.3        0.5        0.375
145    0.0        0.0        0
146    0.1        0.0769     0.087
147    0.5        0.8333     0.625
148    0.4        0.3333     0.3636
149    0.3        0.6        0.4
150    0.1        0.25       0.1429
